address_hex,address_dec,result_type,value_or_code
0x00B9,185,EXCEPTION,0
0x00BA,186,EXCEPTION,0
0x00BB,187,EXCEPTION,0
0x00BC,188,EXCEPTION,0
0x00BD,189,EXCEPTION,0
0x00BE,190,EXCEPTION,0
0x00BF,191,EXCEPTION,0
0x00C0,192,EXCEPTION,0
0x00C1,193,EXCEPTION,0
0x00C2,194,EXCEPTION,0
0x00C3,195,EXCEPTION,0
0x00C4,196,EXCEPTION,0
0x00C5,197,EXCEPTION,0
0x00C6,198,EXCEPTION,0
0x00C7,199,EXCEPTION,0
0x00C8,200,EXCEPTION,0
0x00C9,201,EXCEPTION,0
0x00CA,202,EXCEPTION,0
0x00CB,203,EXCEPTION,0
0x00CC,204,EXCEPTION,0
0x00CD,205,EXCEPTION,0
0x00CE,206,EXCEPTION,0
0x00CF,207,EXCEPTION,0
0x00D0,208,EXCEPTION,0
0x00D1,209,EXCEPTION,0
0x00D2,210,EXCEPTION,0
0x00D3,211,EXCEPTION,0
0x00D4,212,EXCEPTION,0
0x00D5,213,EXCEPTION,0
0x00D6,214,EXCEPTION,0
0x00D7,215,EXCEPTION,0
0x00D8,216,EXCEPTION,0
0x00D9,217,EXCEPTION,0
0x00DA,218,EXCEPTION,0
0x00DB,219,EXCEPTION,0
0x00DC,220,EXCEPTION,0
0x00DD,221,EXCEPTION,0
0x00DE,222,EXCEPTION,0
0x00DF,223,EXCEPTION,0
0x00E0,224,EXCEPTION,0
0x00E1,225,EXCEPTION,0
0x00E2,226,EXCEPTION,0
0x00E3,227,EXCEPTION,0
0x00E4,228,EXCEPTION,0
0x00E5,229,EXCEPTION,0
0x00E6,230,EXCEPTION,0
0x00E7,231,EXCEPTION,0
0x00E8,232,EXCEPTION,0
0x00E9,233,EXCEPTION,0
0x00EA,234,EXCEPTION,0
0x00EB,235,EXCEPTION,0
0x00EC,236,EXCEPTION,0
0x00ED,237,EXCEPTION,0
0x00EE,238,EXCEPTION,0
0x00EF,239,EXCEPTION,0
0x00F0,240,EXCEPTION,0
0x00F1,241,EXCEPTION,0
0x00F2,242,EXCEPTION,0
0x00F3,243,EXCEPTION,0
0x00F4,244,EXCEPTION,0
0x00F5,245,EXCEPTION,0
0x00F6,246,EXCEPTION,0
0x00F7,247,EXCEPTION,0
0x00F8,248,EXCEPTION,0
0x00F9,249,EXCEPTION,0
0x00FA,250,EXCEPTION,0
0x00FB,251,EXCEPTION,0
0x00FC,252,EXCEPTION,0
0x00FD,253,EXCEPTION,0
0x00FE,254,EXCEPTION,0
0x00FF,255,EXCEPTION,0
0x0100,256,EXCEPTION,1
0x0101,257,EXCEPTION,1
0x0102,258,EXCEPTION,1
0x0103,259,EXCEPTION,1
0x0104,260,EXCEPTION,1
0x0105,261,EXCEPTION,1
0x0106,262,EXCEPTION,1
0x0107,263,EXCEPTION,1
0x0108,264,EXCEPTION,1
0x0109,265,EXCEPTION,1
0x010A,266,EXCEPTION,1
0x010B,267,EXCEPTION,1
0x010C,268,EXCEPTION,1
0x010D,269,EXCEPTION,1
0x010E,270,EXCEPTION,1
0x010F,271,EXCEPTION,1
0x0110,272,EXCEPTION,1
0x0111,273,EXCEPTION,1
0x0112,274,EXCEPTION,1
0x0113,275,EXCEPTION,1
0x0114,276,EXCEPTION,1
0x0115,277,EXCEPTION,1
0x0116,278,EXCEPTION,1
0x0117,279,EXCEPTION,1
0x0118,280,EXCEPTION,1
0x0119,281,EXCEPTION,1
0x011A,282,EXCEPTION,1
0x011B,283,EXCEPTION,1
0x011C,284,EXCEPTION,1
0x011D,285,EXCEPTION,1
0x011E,286,EXCEPTION,1
0x011F,287,EXCEPTION,1
0x0120,288,EXCEPTION,1
0x0121,289,EXCEPTION,1
0x0122,290,EXCEPTION,1
0x0123,291,EXCEPTION,1
0x0124,292,EXCEPTION,1
0x0125,293,EXCEPTION,1
0x0126,294,EXCEPTION,1
0x0127,295,EXCEPTION,1
0x0128,296,EXCEPTION,1
0x0129,297,EXCEPTION,1
0x012A,298,EXCEPTION,1
0x012B,299,EXCEPTION,1
0x012C,300,EXCEPTION,1
0x012D,301,EXCEPTION,1
0x012E,302,EXCEPTION,1
0x012F,303,EXCEPTION,1
0x0130,304,EXCEPTION,1
0x0131,305,EXCEPTION,1
0x0132,306,EXCEPTION,1
0x0133,307,EXCEPTION,1
0x0134,308,EXCEPTION,1
0x0135,309,EXCEPTION,1
0x0136,310,EXCEPTION,1
0x0137,311,EXCEPTION,1
0x0138,312,EXCEPTION,1
0x0139,313,EXCEPTION,1
0x013A,314,EXCEPTION,1
0x013B,315,EXCEPTION,1
0x013C,316,EXCEPTION,1
0x013D,317,EXCEPTION,1
0x013E,318,EXCEPTION,1
0x013F,319,EXCEPTION,1
0x0140,320,EXCEPTION,1
0x0141,321,EXCEPTION,1
0x0142,322,EXCEPTION,1
0x0143,323,EXCEPTION,1
0x0144,324,EXCEPTION,1
0x0145,325,EXCEPTION,1
0x0146,326,EXCEPTION,1
